sheet,model,mae,rmse,row_sum_error,direction_accuracy,evaluated_steps,is_best
培养皿1,persistence,0.014382,0.149584,0.0,0.349675,3434,1
培养皿1,moving_average_3,0.022621,0.194147,0.0,0.197969,3434,0
培养皿1,moving_average_5,0.029687,0.264495,0.0,0.238231,3434,0
培养皿1,linear_trend_5,0.017796,0.208769,0.0,0.867603,3434,0
培养皿1,linear_trend_10,0.026025,0.275407,0.0,0.818288,3434,0
培养皿1,ewm_0_3,0.028034,0.268483,0.0,0.273556,3434,0
培养皿1,ewm_0_6,0.018262,0.169039,0.0,0.220531,3434,0
培养皿1,ridge_value_w5_a0_1,0.032959,0.19097,0.0,0.527753,3434,0
培养皿1,ridge_value_w10_a0_1,0.027317,0.162885,0.0,0.524765,3434,0
培养皿1,ridge_delta_w5_a1_0,0.030708,0.208776,0.0,0.524094,3434,0
培养皿1,ridge_delta_w10_a1_0,0.026836,0.191961,0.0,0.529614,3434,0
培养皿1,joint_clr_w5_a1_0,0.130748,1.012314,0.0,0.549796,3434,0
培养皿2,persistence,0.013546,0.145862,0.0,0.196821,3434,1
培养皿2,moving_average_3,0.023487,0.188492,0.0,0.161608,3434,0
培养皿2,moving_average_5,0.031332,0.249452,0.0,0.219244,3434,0
培养皿2,linear_trend_5,0.017922,0.23444,0.0,0.865709,3434,0
培养皿2,linear_trend_10,0.026803,0.269624,0.0,0.801566,3434,0
培养皿2,ewm_0_3,0.029381,0.247311,0.0,0.264067,3434,0
培养皿2,ewm_0_6,0.018263,0.159089,0.0,0.19961,3434,0
培养皿2,ridge_value_w5_a0_1,0.032062,0.168054,0.0,0.528975,3434,0
培养皿2,ridge_value_w10_a0_1,0.02793,0.155059,0.0,0.52352,3434,0
培养皿2,ridge_delta_w5_a1_0,0.030967,0.217791,0.0,0.539425,3434,0
培养皿2,ridge_delta_w10_a1_0,0.026288,0.179683,0.0,0.529524,3434,0
培养皿2,joint_clr_w5_a1_0,0.100053,0.945572,0.0,0.462714,3434,0
培养皿3,persistence,0.012695,0.137298,0.0,0.247639,3434,1
培养皿3,moving_average_3,0.022321,0.168101,0.0,0.137563,3434,0
培养皿3,moving_average_5,0.030358,0.227551,0.0,0.193548,3434,0
培养皿3,linear_trend_5,0.016756,0.204552,0.0,0.872889,3434,0
培养皿3,linear_trend_10,0.025104,0.23626,0.0,0.805631,3434,0
培养皿3,ewm_0_3,0.028724,0.232302,0.0,0.246225,3434,0
培养皿3,ewm_0_6,0.017444,0.147973,0.0,0.173891,3434,0
培养皿3,ridge_value_w5_a0_1,0.03094,0.152568,0.0,0.533156,3434,0
培养皿3,ridge_value_w10_a0_1,0.026231,0.14389,0.0,0.524815,3434,0
培养皿3,ridge_delta_w5_a1_0,0.029875,0.198759,0.0,0.531991,3434,0
培养皿3,ridge_delta_w10_a1_0,0.025149,0.170029,0.0,0.528569,3434,0
培养皿3,joint_clr_w5_a1_0,0.082339,0.918251,0.0,0.560956,3434,0
培养皿4,persistence,0.012679,0.138475,0.0,0.233838,3434,1
培养皿4,moving_average_3,0.022418,0.188562,0.0,0.13669,3434,0
培养皿4,moving_average_5,0.030033,0.242682,0.0,0.192716,3434,0
培养皿4,linear_trend_5,0.017444,0.224815,0.0,0.873388,3434,0
培养皿4,linear_trend_10,0.025209,0.258045,0.0,0.805922,3434,0
培养皿4,ewm_0_3,0.027881,0.231912,0.0,0.247067,3434,0
培养皿4,ewm_0_6,0.017435,0.157591,0.0,0.173964,3434,0
培养皿4,ridge_value_w5_a0_1,0.031587,0.154527,0.0,0.530077,3434,0
培养皿4,ridge_value_w10_a0_1,0.026704,0.144914,0.0,0.528257,3434,0
培养皿4,ridge_delta_w5_a1_0,0.029777,0.189805,0.0,0.52521,3434,0
培养皿4,ridge_delta_w10_a1_0,0.025354,0.172687,0.0,0.527696,3434,0
培养皿4,joint_clr_w5_a1_0,0.076245,0.877469,0.0,0.425368,3434,0
培养皿5,persistence,0.013558,0.142936,0.0,0.209175,3434,1
培养皿5,moving_average_3,0.023491,0.181657,0.0,0.14987,3434,0
培养皿5,moving_average_5,0.031332,0.223741,0.0,0.208201,3434,0
培养皿5,linear_trend_5,0.018079,0.233977,0.0,0.865273,3434,0
培养皿5,linear_trend_10,0.027349,0.302722,0.0,0.797601,3434,0
培养皿5,ewm_0_3,0.029174,0.213083,0.0,0.25597,3434,0
培养皿5,ewm_0_6,0.01829,0.152547,0.0,0.187962,3434,0
培养皿5,ridge_value_w5_a0_1,0.03152,0.161295,0.0,0.515187,3434,0
培养皿5,ridge_value_w10_a0_1,0.027478,0.15156,0.0,0.518133,3434,0
培养皿5,ridge_delta_w5_a1_0,0.030257,0.204078,0.0,0.516655,3434,0
培养皿5,ridge_delta_w10_a1_0,0.025688,0.175426,0.0,0.519802,3434,0
培养皿5,joint_clr_w5_a1_0,0.085001,0.77606,0.0,0.485048,3434,0
培养皿6,persistence,0.014639,0.150898,0.0,0.303018,3434,1
培养皿6,moving_average_3,0.023454,0.190272,0.0,0.229875,3434,0
培养皿6,moving_average_5,0.030326,0.248316,0.0,0.272467,3434,0
培养皿6,linear_trend_5,0.019016,0.235112,0.0,0.864627,3434,0
培养皿6,linear_trend_10,0.027122,0.267799,0.0,0.811869,3434,0
培养皿6,ewm_0_3,0.02848,0.251227,0.0,0.310932,3434,0
培养皿6,ewm_0_6,0.018617,0.163273,0.0,0.253298,3434,0
培养皿6,ridge_value_w5_a0_1,0.032237,0.176659,0.0,0.550417,3434,0
培养皿6,ridge_value_w10_a0_1,0.02726,0.163301,0.0,0.543086,3434,0
培养皿6,ridge_delta_w5_a1_0,0.031261,0.219368,0.0,0.557481,3434,0
培养皿6,ridge_delta_w10_a1_0,0.0259,0.185708,0.0,0.555481,3434,0
培养皿6,joint_clr_w5_a1_0,0.098712,0.854365,0.0,0.441417,3434,0
培养皿7,persistence,0.022098,0.189283,0.0,0.035145,3434,1
培养皿7,moving_average_3,0.038287,0.244481,0.0,0.1699,3434,0
培养皿7,moving_average_5,0.051384,0.327146,0.0,0.260938,3434,0
培养皿7,linear_trend_5,0.029606,0.289667,0.0,0.785727,3434,0
培养皿7,linear_trend_10,0.044133,0.358842,0.0,0.681093,3434,0
培养皿7,ewm_0_3,0.047474,0.318094,0.0,0.312336,3434,0
培养皿7,ewm_0_6,0.029798,0.210953,0.0,0.217039,3434,0
培养皿7,ridge_value_w5_a0_1,0.049018,0.216675,0.0,0.501074,3434,0
培养皿7,ridge_value_w10_a0_1,0.043321,0.204323,0.0,0.504368,3434,0
培养皿7,ridge_delta_w5_a1_0,0.047923,0.266628,0.0,0.50222,3434,0
培养皿7,ridge_delta_w10_a1_0,0.041222,0.229673,0.0,0.504168,3434,0
培养皿7,joint_clr_w5_a1_0,0.091764,1.072006,0.0,0.527665,3434,0
